user_id,age,house_type,resident,job
1203,53,4,경남,2
1204,53,4,경기,6
1205,53,1,충남,5
1206,53,4,서울,1
1207,53,4,경기,5
1208,53,4,광주,4
1209,53,4,인천,6
1210,53,4,인천,6
1211,53,4,충북,4
1212,53,4,경기,6
1213,43,4,충남,6
1214,43,4,서울,3
1215,53,4,경기,2
1216,53,4,광주,2
1217,53,3,경기,5
1218,53,1,충북,3
1219,53,4,서울,1
1220,53,4,부산,4
1221,53,4,경기,4
1222,53,4,대전,6
1223,53,4,경기,4
1224,53,4,대전,1
1225,53,1,전북,2
1226,53,4,경기,6
1227,53,4,부산,6
1228,52,4,경북,6
1229,52,4,인천,2
1230,52,4,전북,4
1231,52,4,울산,2
1232,52,4,경북,2
1233,52,4,경기,2
1234,52,4,강원,2
1235,52,4,울산,2
1236,52,1,경기,5
1237,52,1,전북,1
1238,52,2,경기,2
1239,52,4,충남,2
1240,52,4,울산,4
1241,52,2,경기,1
1242,52,4,울산,2
1243,52,4,경기,2
1244,52,1,경남,3
1245,52,2,광주,5
1246,42,4,경기,2
1247,52,4,광주,5
1248,52,4,부산,3
1249,52,4,전남,6
1250,52,1,전남,2
1251,52,4,울산,6
1252,52,3,강원,5
1253,52,2,서울,1
1254,42,4,대구,1
1255,51,4,경기,5
1256,51,4,경북,7
1257,51,2,충북,8
1258,51,4,울산,2
1259,51,2,경기,2
1260,51,2,경기,1
1261,51,4,경기,4
1262,51,3,부산,1
1263,51,4,경기,1
1264,51,4,서울,2
1265,41,4,경남,3
1266,51,2,경기,6
1267,51,4,경기,2
1268,51,4,경기,6
1269,51,2,강원,6
1270,41,4,경기,6
1271,51,2,인천,3
1272,51,4,경기,5
1273,51,1,울산,6
1274,41,4,광주,2
1275,41,4,서울,1
1276,51,4,울산,5
1277,51,4,경기,1
1278,41,4,경기,1
1279,51,2,충북,1
1280,41,4,서울,1
1281,51,4,경기,2
1282,41,4,경기,3
1283,51,2,경기,2
1284,51,4,경기,2
1285,51,4,대구,1
1286,51,4,서울,5
1287,6,4,경기,2
1288,6,4,광주,6
1289,6,4,인천,3
1290,6,4,인천,2
1291,6,4,인천,4
1292,6,4,광주,2
1293,6,3,경기,5
1294,6,4,전남,2
1295,6,4,서울,2
1296,6,4,대구,5
1297,6,3,경북,1
1298,6,4,경남,5
1299,6,4,대구,4
1300,6,4,경남,2
1301,6,4,부산,1
1302,6,4,울산,5
1303,6,4,서울,2
1304,6,4,전북,2
1305,6,4,경남,2
1306,6,4,인천,1
1307,6,2,서울,1
1308,6,4,인천,2
1309,6,4,인천,1
1310,6,4,광주,2
1311,49,3,대구,1
1312,49,4,경기,2
1313,49,4,경북,2
1314,49,2,충북,6
1315,49,4,서울,3
1316,49,4,경기,6
1317,49,2,대구,6
1318,49,4,경기,1
1319,49,2,대구,6
1320,49,4,경기,6
1321,49,4,대전,2
1322,49,4,서울,1
1323,49,4,경기,2
1324,49,4,전남,2
1325,49,4,경기,4
1326,49,4,충남,4
1327,49,4,서울,3
1328,49,4,인천,1
1329,49,4,경기,1
1330,49,4,서울,3
1331,49,4,인천,1
1332,49,4,전남,1
1333,49,4,부산,4
1334,49,2,울산,4
1335,49,2,서울,1
1336,49,4,경기,5
1337,49,4,대구,2
1338,49,4,경기,3
1339,49,4,경기,3
1340,49,4,경북,6
1341,48,4,충남,5
1342,48,4,경기,3
1343,48,4,인천,5
1344,48,2,전남,4
1345,48,1,경기,3
1346,48,4,전북,5
1347,48,4,서울,3
1348,48,4,인천,1
1349,48,4,경기,4
1350,48,4,서울,4
1351,48,4,인천,2
1352,48,4,경기,5
1353,48,4,제주,3
1354,48,4,대구,2
1355,48,4,경기,1
1356,48,4,부산,6
1357,48,3,대전,1
1358,48,4,광주,1
1359,48,1,경기,5
1360,48,4,경기,6
1361,48,4,경기,2
1362,48,4,부산,2
1363,48,4,전남,5
1364,48,4,부산,6
1365,48,4,경기,5
1366,48,4,광주,5
1367,48,4,부산,5
1368,48,4,대전,2
1369,48,4,경기,5
1370,48,4,부산,1
1371,47,2,경기,5
1372,47,4,부산,6
1373,47,2,서울,2
1374,47,4,경북,6
1375,47,4,서울,2
1376,47,2,경기,3
1377,47,4,충북,3
1378,47,4,경기,2
1379,47,4,경기,3
1380,47,4,광주,4
1381,47,4,광주,4
1382,47,4,경남,1
1383,47,4,경기,1
1384,47,2,서울,1
1385,47,4,경기,2
1386,47,4,경기,2
1387,47,4,서울,2
1388,47,4,서울,6
1389,47,4,부산,2
1390,47,4,경기,6
1391,47,4,인천,2
1392,47,4,서울,5
1393,47,4,경남,6
1394,47,4,서울,4
1395,47,4,강원,2
1396,47,4,충남,6
1397,47,4,서울,4
1398,47,2,경기,2
1399,47,4,전남,2
1400,46,4,인천,5
